TICK n=11 nonce=1da1ee2679e76f5f917fc6c5ec71a095 mono_ms=5877 real_ms=1786386429610 vcpu_online=1 held_w=w=49 held_r=E11/EAGAIN new=E104/ECONNRESET new_ok_total=11
TICK n=12 nonce=1da1ee2679e76f5f917fc6c5ec71a095 mono_ms=6380 real_ms=1786386430113 vcpu_online=1 held_w=E32/EPIPE held_r=EOF new=E104/ECONNRESET new_ok_total=11
TICK n=13 nonce=1da1ee2679e76f5f917fc6c5ec71a095 mono_ms=6885 real_ms=1786386430618 vcpu_online=1 held_w=E32/EPIPE held_r=EOF new=E104/ECONNRESET new_ok_total=11
TICK n=14 nonce=1da1ee2679e76f5f917fc6c5ec71a095 mono_ms=7391 real_ms=1786386431124 vcpu_online=1 held_w=E32/EPIPE held_r=EOF new=E104/ECONNRESET new_ok_total=11
TICK n=15 nonce=1da1ee2679e76f5f917fc6c5ec71a095 mono_ms=7897 real_ms=1786386431630 vcpu_online=1 held_w=E32/EPIPE held_r=EOF new=E104/ECONNRESET new_ok_total=11
TICK n=16 nonce=1da1ee2679e76f5f917fc6c5ec71a095 mono_ms=8403 real_ms=1786386432136 vcpu_online=1 held_w=E32/EPIPE held_r=EOF new=E104/ECONNRESET new_ok_total=11
TICK n=17 nonce=1da1ee2679e76f5f917fc6c5ec71a095 mono_ms=8908 real_ms=1786386432641 vcpu_online=1 held_w=E32/EPIPE held_r=EOF new=ok(w=48) new_ok_total=12
TICK n=18 nonce=1da1ee2679e76f5f917fc6c5ec71a095 mono_ms=9414 real_ms=1786386433147 vcpu_online=1 held_w=E32/EPIPE held_r=EOF new=ok(w=48) new_ok_total=13
TICK n=19 nonce=1da1ee2679e76f5f917fc6c5ec71a095 mono_ms=9920 real_ms=1786386433653 vcpu_online=1 held_w=E32/EPIPE held_r=EOF new=ok(w=48) new_ok_total=14
TICK n=20 nonce=1da1ee2679e76f5f917fc6c5ec71a095 mono_ms=10425 real_ms=1786386434158 vcpu_online=1 held_w=E32/EPIPE held_r=EOF new=ok(w=48) new_ok_total=15
TICK n=21 nonce=1da1ee2679e76f5f917fc6c5ec71a095 mono_ms=10929 real_ms=1786386434662 vcpu_online=1 held_w=E32/EPIPE held_r=EOF new=ok(w=48) new_ok_total=16
TICK n=22 nonce=1da1ee2679e76f5f917fc6c5ec71a095 mono_ms=11435 real_ms=1786386435168 vcpu_online=1 held_w=E32/EPIPE held_r=EOF new=ok(w=48) new_ok_total=17
TICK n=23 nonce=1da1ee2679e76f5f917fc6c5ec71a095 mono_ms=11941 real_ms=1786386435674 vcpu_online=1 held_w=E32/EPIPE held_r=EOF new=ok(w=48) new_ok_total=18
TICK n=24 nonce=1da1ee2679e76f5f917fc6c5ec71a095 mono_ms=12447 real_ms=1786386436180 vcpu_online=1 held_w=E32/EPIPE held_r=EOF new=ok(w=48) new_ok_total=19
TICK n=25 nonce=1da1ee2679e76f5f917fc6c5ec71a095 mono_ms=12952 real_ms=1786386436685 vcpu_online=1 held_w=E32/EPIPE held_r=EOF new=ok(w=48) new_ok_total=20
TICK n=26 nonce=1da1ee2679e76f5f917fc6c5ec71a095 mono_ms=13458 real_ms=1786386437191 vcpu_online=1 held_w=E32/EPIPE held_r=EOF new=ok(w=48) new_ok_total=21
TICK n=27 nonce=1da1ee2679e76f5f917fc6c5ec71a095 mono_ms=13964 real_ms=1786386437697 vcpu_online=1 held_w=E32/EPIPE held_r=EOF new=ok(w=48) new_ok_total=22
TICK n=28 nonce=1da1ee2679e76f5f917fc6c5ec71a095 mono_ms=14469 real_ms=1786386438202 vcpu_online=1 held_w=E32/EPIPE held_r=EOF new=ok(w=48) new_ok_total=23
