TICK n=11 nonce=964052c30a681a2c9d6636c4506ed23a mono_ms=5877 real_ms=1786386445825 vcpu_online=1 held_w=w=49 held_r=E11/EAGAIN new=ok(w=48) new_ok_total=12
TICK n=12 nonce=964052c30a681a2c9d6636c4506ed23a mono_ms=6381 real_ms=1786386446330 vcpu_online=1 held_w=E32/EPIPE held_r=EOF new=ok(w=48) new_ok_total=13
TICK n=13 nonce=964052c30a681a2c9d6636c4506ed23a mono_ms=6887 real_ms=1786386446835 vcpu_online=1 held_w=E32/EPIPE held_r=EOF new=ok(w=48) new_ok_total=14
TICK n=14 nonce=964052c30a681a2c9d6636c4506ed23a mono_ms=7392 real_ms=1786386447341 vcpu_online=1 held_w=E32/EPIPE held_r=EOF new=ok(w=48) new_ok_total=15
TICK n=15 nonce=964052c30a681a2c9d6636c4506ed23a mono_ms=7898 real_ms=1786386447847 vcpu_online=1 held_w=E32/EPIPE held_r=EOF new=ok(w=48) new_ok_total=16
TICK n=16 nonce=964052c30a681a2c9d6636c4506ed23a mono_ms=8404 real_ms=1786386448352 vcpu_online=1 held_w=E32/EPIPE held_r=EOF new=ok(w=48) new_ok_total=17
TICK n=17 nonce=964052c30a681a2c9d6636c4506ed23a mono_ms=8909 real_ms=1786386448858 vcpu_online=1 held_w=E32/EPIPE held_r=EOF new=ok(w=48) new_ok_total=18
TICK n=18 nonce=964052c30a681a2c9d6636c4506ed23a mono_ms=9415 real_ms=1786386449364 vcpu_online=1 held_w=E32/EPIPE held_r=EOF new=ok(w=48) new_ok_total=19
TICK n=19 nonce=964052c30a681a2c9d6636c4506ed23a mono_ms=9920 real_ms=1786386449869 vcpu_online=1 held_w=E32/EPIPE held_r=EOF new=ok(w=48) new_ok_total=20
TICK n=20 nonce=964052c30a681a2c9d6636c4506ed23a mono_ms=10426 real_ms=1786386450375 vcpu_online=1 held_w=E32/EPIPE held_r=EOF new=ok(w=48) new_ok_total=21
TICK n=21 nonce=964052c30a681a2c9d6636c4506ed23a mono_ms=10932 real_ms=1786386450880 vcpu_online=1 held_w=E32/EPIPE held_r=EOF new=ok(w=48) new_ok_total=22
TICK n=22 nonce=964052c30a681a2c9d6636c4506ed23a mono_ms=11437 real_ms=1786386451386 vcpu_online=1 held_w=E32/EPIPE held_r=EOF new=ok(w=48) new_ok_total=23
TICK n=23 nonce=964052c30a681a2c9d6636c4506ed23a mono_ms=11943 real_ms=1786386451892 vcpu_online=1 held_w=E32/EPIPE held_r=EOF new=ok(w=48) new_ok_total=24
TICK n=24 nonce=964052c30a681a2c9d6636c4506ed23a mono_ms=12449 real_ms=1786386452397 vcpu_online=1 held_w=E32/EPIPE held_r=EOF new=ok(w=48) new_ok_total=25
TICK n=25 nonce=964052c30a681a2c9d6636c4506ed23a mono_ms=12954 real_ms=1786386452903 vcpu_online=1 held_w=E32/EPIPE held_r=EOF new=ok(w=48) new_ok_total=26
TICK n=26 nonce=964052c30a681a2c9d6636c4506ed23a mono_ms=13460 real_ms=1786386453409 vcpu_online=1 held_w=E32/EPIPE held_r=EOF new=ok(w=48) new_ok_total=27
TICK n=27 nonce=964052c30a681a2c9d6636c4506ed23a mono_ms=13966 real_ms=1786386453914 vcpu_online=1 held_w=E32/EPIPE held_r=EOF new=ok(w=48) new_ok_total=28
