trial	outcome	stage	control_plane_pid	control_plane_start_ticks	healthy_service_id	healthy_deploy_rc	healthy_terminal_state	healthy_target	healthy_peer	healthy_allocations	healthy_cleanup	failure_service_id	failure_deploy_rc	failure_terminal_state	failure_reason	failure_target	failure_peer	failure_allocations	failure_cleanup
1	pass	complete	3545353	219019710	service-e09-v2-c001-h	0	Terminated	startup probe[0] tcp 0.0.0.0:18081 last=pass last_observed_at=1788904396024	Succeeded	alloc-service-e09-v2-c001-h-0,alloc-service-e09-v2-c001-h-0:	zero-runtime	service-e09-v2-c001-f	1	Terminated	StartupProbeFailed	startup probe[0] tcp 0.0.0.0:18999 last=fail (connect failed: NetworkUnreachable: Network is unreachable (os error 101)) last_observed_at=1788904559890	Succeeded	alloc-service-e09-v2-c001-f-0	zero-runtime
2	pass	complete	3545353	219019710	service-e09-v2-c002-h	0	Terminated	startup probe[0] tcp 0.0.0.0:18081 last=pass last_observed_at=1788904404699	Succeeded	alloc-service-e09-v2-c002-h-0,alloc-service-e09-v2-c002-h-0:	zero-runtime	service-e09-v2-c002-f	1	Terminated	StartupProbeFailed	startup probe[0] tcp 0.0.0.0:18999 last=fail (connection refused) last_observed_at=1788904559073	Succeeded	alloc-service-e09-v2-c002-f-0	zero-runtime
3	pass	complete	3545353	219019710	service-e09-v2-c003-h	0	Terminated	startup probe[0] tcp 0.0.0.0:18081 last=pass last_observed_at=1788904396209	Succeeded	alloc-service-e09-v2-c003-h-0,alloc-service-e09-v2-c003-h-0:	zero-runtime	service-e09-v2-c003-f	1	Terminated	StartupProbeFailed	startup probe[0] tcp 0.0.0.0:18999 last=fail (connection refused) last_observed_at=1788904559256	Succeeded	alloc-service-e09-v2-c003-f-0	zero-runtime
4	pass	complete	3545353	219019710	service-e09-v2-c004-h	0	Terminated	startup probe[0] tcp 0.0.0.0:18081 last=pass last_observed_at=1788904404403	Succeeded	alloc-service-e09-v2-c004-h-0,alloc-service-e09-v2-c004-h-0:	zero-runtime	service-e09-v2-c004-f	1	Terminated	StartupProbeFailed	startup probe[0] tcp 0.0.0.0:18999 last=fail (connection refused) last_observed_at=1788904559447	Succeeded	alloc-service-e09-v2-c004-f-0	zero-runtime
5	pass	complete	3545353	219019710	service-e09-v2-c005-h	0	Terminated	startup probe[0] tcp 0.0.0.0:18081 last=pass last_observed_at=1788904404917	Succeeded	alloc-service-e09-v2-c005-h-0,alloc-service-e09-v2-c005-h-0:	zero-runtime	service-e09-v2-c005-f	1	Terminated	StartupProbeFailed	startup probe[0] tcp 0.0.0.0:18999 last=fail (connect failed: NetworkUnreachable: Network is unreachable (os error 101)) last_observed_at=1788904560630	Succeeded	alloc-service-e09-v2-c005-f-0	zero-runtime
6	pass	complete	3545353	219019710	service-e09-v2-c006-h	0	Terminated	startup probe[0] tcp 0.0.0.0:18081 last=pass last_observed_at=1788904404101	Succeeded	alloc-service-e09-v2-c006-h-0,alloc-service-e09-v2-c006-h-0:	zero-runtime	service-e09-v2-c006-f	1	Terminated	StartupProbeFailed	startup probe[0] tcp 0.0.0.0:18999 last=fail (connection refused) last_observed_at=1788904558830	Succeeded	alloc-service-e09-v2-c006-f-0	zero-runtime
7	pass	complete	3545353	219019710	service-e09-v2-c007-h	0	Terminated	startup probe[0] tcp 0.0.0.0:18081 last=pass last_observed_at=1788904404317	Succeeded	alloc-service-e09-v2-c007-h-0,alloc-service-e09-v2-c007-h-0:	zero-runtime	service-e09-v2-c007-f	1	Terminated	StartupProbeFailed	startup probe[0] tcp 0.0.0.0:18999 last=fail (connection refused) last_observed_at=1788904559026	Succeeded	alloc-service-e09-v2-c007-f-0	zero-runtime
8	pass	complete	3545353	219019710	service-e09-v2-c008-h	0	Terminated	startup probe[0] tcp 0.0.0.0:18081 last=pass last_observed_at=1788904404517	Succeeded	alloc-service-e09-v2-c008-h-0,alloc-service-e09-v2-c008-h-0:	zero-runtime	service-e09-v2-c008-f	1	Terminated	StartupProbeFailed	startup probe[0] tcp 0.0.0.0:18999 last=fail (connection refused) last_observed_at=1788904559241	Succeeded	alloc-service-e09-v2-c008-f-0	zero-runtime
9	pass	complete	3545353	219019710	service-e09-v2-c009-h	0	Terminated	startup probe[0] tcp 0.0.0.0:18081 last=pass last_observed_at=1788904404725	Succeeded	alloc-service-e09-v2-c009-h-0,alloc-service-e09-v2-c009-h-0:	zero-runtime	service-e09-v2-c009-f	1	Terminated	StartupProbeFailed	startup probe[0] tcp 0.0.0.0:18999 last=fail (connection refused) last_observed_at=1788904559449	Succeeded	alloc-service-e09-v2-c009-f-0	zero-runtime
10	pass	complete	3545353	219019710	service-e09-v2-c010-h	0	Terminated	startup probe[0] tcp 0.0.0.0:18081 last=pass last_observed_at=1788904405951	Succeeded	alloc-service-e09-v2-c010-h-0,alloc-service-e09-v2-c010-h-0:	zero-runtime	service-e09-v2-c010-f	1	Terminated	StartupProbeFailed	startup probe[0] tcp 0.0.0.0:18999 last=fail (connection refused) last_observed_at=1788904560657	Succeeded	alloc-service-e09-v2-c010-f-0	zero-runtime
11	pass	complete	3545353	219019710	service-e09-v2-c011-h	0	Terminated	startup probe[0] tcp 0.0.0.0:18081 last=pass last_observed_at=1788904725818	Succeeded	alloc-service-e09-v2-c011-h-0,alloc-service-e09-v2-c011-h-0:	zero-runtime	service-e09-v2-c011-f	1	Terminated	StartupProbeFailed	startup probe[0] tcp 0.0.0.0:18999 last=fail (connection refused) last_observed_at=1788904887010	Succeeded	alloc-service-e09-v2-c011-f-0	zero-runtime
12	pass	complete	3545353	219019710	service-e09-v2-c012-h	0	Terminated	startup probe[0] tcp 0.0.0.0:18081 last=pass last_observed_at=1788904726011	Succeeded	alloc-service-e09-v2-c012-h-0,alloc-service-e09-v2-c012-h-0:	zero-runtime	service-e09-v2-c012-f	1	Terminated	StartupProbeFailed	startup probe[0] tcp 0.0.0.0:18999 last=fail (connection refused) last_observed_at=1788904886204	Succeeded	alloc-service-e09-v2-c012-f-0	zero-runtime
13	pass	complete	3545353	219019710	service-e09-v2-c013-h	0	Terminated	startup probe[0] tcp 0.0.0.0:18081 last=pass last_observed_at=1788904726221	Succeeded	alloc-service-e09-v2-c013-h-0,alloc-service-e09-v2-c013-h-0:	zero-runtime	service-e09-v2-c013-f	1	Terminated	StartupProbeFailed	startup probe[0] tcp 0.0.0.0:18999 last=fail (connection refused) last_observed_at=1788904886403	Succeeded	alloc-service-e09-v2-c013-f-0	zero-runtime
