trial	healthy_deploy	healthy_terminal	healthy_target	healthy_peer	failure_deploy	failure_terminal	failure_target	failure_peer	cleanup
1	0	Stable	guest	exact-reply	nonzero	StartupProbeFailed	guest	unreachable-verified	zero-delta
2	0	Stable	guest	exact-reply	nonzero	StartupProbeFailed	guest	unreachable-verified	zero-delta
3	0	Stable	guest	exact-reply	nonzero	StartupProbeFailed	guest	unreachable-verified	zero-delta
4	0	Stable	guest	exact-reply	nonzero	StartupProbeFailed	guest	unreachable-verified	zero-delta
5	0	Stable	guest	exact-reply	nonzero	StartupProbeFailed	guest	unreachable-verified	zero-delta
6	0	Stable	guest	exact-reply	nonzero	StartupProbeFailed	guest	unreachable-verified	zero-delta
7	0	Stable	guest	exact-reply	nonzero	StartupProbeFailed	guest	unreachable-verified	zero-delta
8	0	Stable	guest	exact-reply	nonzero	StartupProbeFailed	guest	unreachable-verified	zero-delta
9	0	Stable	guest	exact-reply	nonzero	StartupProbeFailed	guest	unreachable-verified	zero-delta
10	0	Stable	guest	exact-reply	nonzero	StartupProbeFailed	guest	unreachable-verified	zero-delta
11	0	Stable	guest	exact-reply	nonzero	StartupProbeFailed	guest	unreachable-verified	zero-delta
12	0	Stable	guest	exact-reply	nonzero	StartupProbeFailed	guest	unreachable-verified	zero-delta
13	0	Stable	guest	exact-reply	nonzero	StartupProbeFailed	guest	unreachable-verified	zero-delta
14	0	Stable	guest	exact-reply	nonzero	StartupProbeFailed	guest	unreachable-verified	zero-delta
15	0	Stable	guest	exact-reply	nonzero	StartupProbeFailed	guest	unreachable-verified	zero-delta
16	0	Stable	guest	exact-reply	nonzero	StartupProbeFailed	guest	unreachable-verified	zero-delta
17	0	Stable	guest	exact-reply	nonzero	StartupProbeFailed	guest	unreachable-verified	zero-delta
18	0	Stable	guest	exact-reply	nonzero	StartupProbeFailed	guest	unreachable-verified	zero-delta
19	0	Stable	guest	exact-reply	nonzero	StartupProbeFailed	guest	unreachable-verified	zero-delta
20	0	Stable	guest	exact-reply	nonzero	StartupProbeFailed	guest	unreachable-verified	zero-delta
21	0	Stable	guest	exact-reply	nonzero	StartupProbeFailed	guest	unreachable-verified	zero-delta
22	0	Stable	guest	exact-reply	nonzero	StartupProbeFailed	guest	unreachable-verified	zero-delta
